level,step,time,area_ratio,volume_ratio,energy_ratio,normalized_surface_centroid_drift,energy_balance_residual,minimum_oriented_face_alignment,minimum_triangle_quality,minimum_face_area_ratio,maximum_normalized_cache_residual
coarse,17,0.0017000000000000001,0.99998130000654462,0.99997280012036027,0.99998130000654462,1.2412670766236366e-16,3.6588720269123068e-14,0.99999999999855504,0.86602466765117747,0.99998130000654473,1.2412670766236366e-16
coarse,18,0.0018000000000000002,0.99998020000701981,0.99997120013446039,0.99998020000701981,7.8504622934188758e-17,3.6623833490555903e-14,0.99999999999837996,0.8660246243484806,0.99998020000701981,0
coarse,19,0.0019,0.99997910000750478,0.99996960014934044,0.9999791000075049,0,3.660343489901299e-14,0.999999999998195,0.86602458104570135,0.99997910000750478,0
coarse,20,0.002,0.99997800000799975,0.99996800016500043,0.99997800000799975,1.1102230246251565e-16,3.6583035778074485e-14,0.99999999999800004,0.86602453774283972,0.99997800000799986,0
base,0,0,1,1,1,0,0,1,0.8660254037844386,1,0
base,1,0.0001,0.99999810000126044,0.99999800000120009,0.99999810000126055,4.0792198665315552e-16,1.5126299607224234e-13,0.99999999999935996,0.8660250573737921,0.99999760000143989,5.5511151231257827e-17
base,2,0.00020000000000000001,0.99999620000371392,0.99999600000171984,0.99999620000371392,6.1564844924307903e-16,1.5121243413452189e-13,0.99999999999743994,0.86602471096136735,0.99999520000368003,5.5511151231257827e-17
base,3,0.00030000000000000003,0.99999430000736,0.99999400000156013,0.99999430000736012,1.6653345369377348e-16,1.5113468667435931e-13,0.99999999999424005,0.86602436454716447,0.99999280000671997,0
base,4,0.00040000000000000002,0.99999240001219947,0.99999200000071997,0.99999240001219947,4.5775667985222375e-16,1.5112689783583239e-13,0.99999999998975997,0.86602401813118313,0.99999040001055983,1.1102230246251565e-16
base,5,0.00050000000000000001,0.99999050001823342,0.99998999999920024,0.99999050001823342,2.0014830212433605e-16,1.5128621239829363e-13,0.99999999998400002,0.86602367171342365,0.99998800001520005,1.5700924586837752e-16
base,6,0.00060000000000000006,0.99998860002545997,0.99998799999700039,0.99998860002545997,0,1.5118241872794254e-13,0.9999999999769601,0.86602332529388582,0.99998560002064008,0
base,7,0.00069999999999999999,0.99998670003387957,0.99998599999412041,0.99998670003387968,1.1102230246251565e-16,1.511763394401312e-13,0.9999999999686402,0.86602297887256974,0.99998320002688024,0
base,8,0.00080000000000000004,0.99998480004349233,0.99998399999056076,0.99998480004349244,6.4736570491389375e-16,1.5114307444458927e-13,0.99999999995904021,0.8660226324494753,0.99998080003392043,1.1102230246251565e-16
base,9,0.00090000000000000008,0.99998290005430002,0.99998199998632076,0.99998290005430002,2.884444029575346e-16,1.5133242397479698e-13,0.99999999994816036,0.86602228602460274,0.99997840004176064,7.8504622934188758e-17
base,10,0.001,0.99998100006629975,0.99997999998140108,0.99998100006629975,1.3597399555105182e-16,1.5118927635962307e-13,0.99999999993600075,0.86602193959795182,0.99997600005040088,1.3597399555105182e-16
