phase,field,summary,T32,T64,T128,T32_T64_difference,T64_T128_difference,gate,gate_applicable,passed_T64_T128
0.5,jelly_endocardium_tangential_traction,absolute_p95,0.0021945747598074035,0.002193803027719632,0.0021933847421265764,0.0003516544990425905,0.00019066688657566716,0.05,True,True
0.5,jelly_endocardium_traction_magnitude,normalized_l2,,,,0.0003139852618692494,0.00016790759587883465,0.05,True,True
0.5,jelly_endocardium_traction_magnitude,absolute_p95,0.002359312797282868,0.0023584994296753036,0.0023580628297850503,0.00034474767758688944,0.0001851176577614821,0.05,True,True
0.5,myocyte_displacement,normalized_l2,,,,1.8119412965874411e-06,9.016486419950356e-07,0.05,True,True
0.5,myocyte_displacement,absolute_p95,0.07193513246043477,0.07193491811356183,0.07193481122854745,2.9797244491529645e-06,1.485857177347519e-06,0.05,True,True
0.5,myocyte_jelly_normal_traction,normalized_l2,,,,0.0001227534189367405,6.374113493954275e-05,0.05,True,True
0.5,myocyte_jelly_normal_traction,absolute_p95,0.024664460293118508,0.024666338615672672,0.024667304546061242,7.614922439160745e-05,3.915832744378962e-05,0.05,True,True
0.5,myocyte_jelly_tangential_traction,normalized_l2,,,,7.033570727614941e-05,3.7163747661723036e-05,0.05,True,True
0.5,myocyte_jelly_tangential_traction,absolute_p95,0.08932686907096622,0.08933267085542645,0.0893357363028247,6.494583006056155e-05,3.431378667825531e-05,0.05,True,True
0.5,myocyte_jelly_traction_magnitude,normalized_l2,,,,7.169075058185405e-05,3.784846644701655e-05,0.05,True,True
0.5,myocyte_jelly_traction_magnitude,absolute_p95,0.09257719292382612,0.09258324325175808,0.0925864383135347,6.535014025717784e-05,3.4508960867500165e-05,0.05,True,True
0.75,ecm_displacement,normalized_l2,,,,0.00048445057663093884,0.00023405473151535912,0.05,True,True
0.75,ecm_displacement,absolute_p95,0.01094766103303094,0.010947432546253614,0.01094737218046359,2.0870830457490774e-05,5.514150442842693e-06,0.05,True,True
0.75,ecm_dissipation_density,normalized_l2,,,,0.015907522395459724,0.0012159494725539352,0.05,True,True
0.75,ecm_dissipation_density,absolute_p95,3.379762262404062e-08,3.4379400673122235e-08,3.4397364432416054e-08,0.01692228595294998,0.0005222423168238415,0.05,True,True
0.75,ecm_equilibrium_energy_density,normalized_l2,,,,0.00011896842557200368,4.83048696710376e-05,0.05,True,True
0.75,ecm_equilibrium_energy_density,absolute_p95,0.0003055044583019525,0.0003055479815435494,0.00030556439663532325,0.0001424432306082292,5.3720564158064375e-05,0.05,True,True
0.75,ecm_internal_z,normalized_l2,,,,0.0003253279373537803,7.255925940905865e-05,0.05,True,True
0.75,ecm_internal_z,absolute_p95,0.018449356152468874,0.018454503119984818,0.018455659935860378,0.0002789003574075967,6.268081876132118e-05,0.05,True,True
0.75,ecm_jacobian,normalized_l2,,,,3.685675975265561e-08,3.1561546840082144e-08,0.05,True,True
0.75,ecm_jacobian,absolute_p95,1.0016902706755861,1.0016903268478439,1.001690384830289,5.6077468483595875e-08,5.788459782143012e-08,0.05,True,True
0.75,ecm_max_principal_cauchy_stress,normalized_l2,,,,3.072129323463063e-05,2.6004391372278787e-05,0.05,True,True
0.75,ecm_max_principal_cauchy_stress,absolute_p95,0.05407846883242364,0.05407877803131362,0.054079366179795675,5.7175642873954465e-06,1.0875654128423013e-05,0.05,True,True
0.75,ecm_max_principal_green_lagrange_strain,normalized_l2,,,,9.090407467905387e-05,3.315849659258316e-05,0.05,True,True
0.75,ecm_max_principal_green_lagrange_strain,absolute_p95,0.00819966888181595,0.008200267789776764,0.008200441572079198,7.303517106600501e-05,2.1191822526420575e-05,0.05,True,True
0.75,ecm_viscoelastic_energy_density,normalized_l2,,,,0.023123866210728636,0.004091662070112984,0.05,True,True
0.75,ecm_viscoelastic_energy_density,absolute_p95,3.327296210696172e-08,3.411168455316867e-08,3.4263218249280126e-08,0.02458754110778845,0.004422634645962939,0.05,True,True
0.75,endocardial_displacement,normalized_l2,,,,0.0004184718613937422,0.0002014327567782548,0.05,True,True
0.75,endocardial_displacement,absolute_p95,0.007105322950597667,0.007107791014190715,0.007108992072428904,0.0003472335621742766,0.00016894915987413238,0.05,True,True
0.75,jelly_endocardium_normal_traction,normalized_l2,,,,4.5623837788498684e-05,3.933102451651902e-05,0.05,True,True
0.75,jelly_endocardium_normal_traction,absolute_p95,1.5033033718555644e-05,1.503312099906792e-05,1.5034245178498843e-05,5.8058810464097935e-06,7.477458412945562e-05,0.05,True,True
0.75,jelly_endocardium_tangential_traction,normalized_l2,,,,8.614246853622832e-05,3.647287291308794e-05,0.05,True,True
0.75,jelly_endocardium_tangential_traction,absolute_p95,0.0013559475865825858,0.0013560681377021641,0.0013561073738745202,8.889753857248564e-05,2.8932939317296166e-05,0.05,True,True
0.75,jelly_endocardium_traction_magnitude,normalized_l2,,,,7.477485653140174e-05,3.742227495295098e-05,0.05,True,True
0.75,jelly_endocardium_traction_magnitude,absolute_p95,0.0014419774931846137,0.0014420973075208847,0.001442141553486063,8.308339225523244e-05,3.068073662494064e-05,0.05,True,True
0.75,myocyte_displacement,normalized_l2,,,,1.9848271308012876e-06,9.706545572958295e-07,0.05,True,True
0.75,myocyte_displacement,absolute_p95,0.038607961959091094,0.03860784214367237,0.038607783616705964,3.103386261423665e-06,1.515934669113049e-06,0.05,True,True
0.75,myocyte_jelly_normal_traction,normalized_l2,,,,4.225508547465018e-05,2.738438607222848e-05,0.05,True,True
