family,source_level,group_id,valence,vertex_count,normal_absolute_error_mean,normal_absolute_error_maximum,normal_absolute_error_rms,tangential_speed_mean,tangential_speed_maximum,tangential_speed_rms
A,5,17,6,120,0.00016230217928667046,0.0001623021793776061,0.00016230217928667049,0.0001278482311489544,0.00012784823115228637,0.00012784823114895437
A,5,18,6,120,0.00024348433208100471,0.00024348433219590834,0.00024348433208100462,0.00052018570539411751,0.00052018570539814608,0.00052018570539411751
A,5,19,6,60,0.00031524196967477425,0.00031524196977567726,0.00031524196967477414,0.00044584972910942882,0.00044584972911210203,0.00044584972910942898
A,5,20,6,120,4.4334791760564127e-05,4.4334791860292655e-05,4.4334791760564121e-05,0.0020599717380385099,0.0020599717380414282,0.0020599717380385099
A,5,21,6,120,0.00018360028831126542,0.00018360028843588359,0.00018360028831126545,0.0001214418722601375,0.00012144187226363202,0.00012144187226013748
A,5,22,6,120,0.00029691104537429218,0.00029691104549197517,0.00029691104537429223,0.00011794469493467118,0.00011794469493842544,0.00011794469493467115
A,5,23,6,120,4.4279643597751848e-05,4.4279643705586597e-05,4.4279643597751855e-05,0.0020522454753086048,0.0020522454753106822,0.0020522454753086053
A,5,24,6,120,0.00024340391350249885,0.00024340391360051436,0.00024340391350249891,0.00043896136635719098,0.0004389613663610857,0.00043896136635719092
A,5,25,6,120,0.00026326347249619231,0.00026326347263901789,0.00026326347249619236,0.00012692987147853627,0.00012692987148203196,0.00012692987147853627
A,5,26,6,60,0.00019493495905311518,0.00019493495922312531,0.0001949349590531152,0.00013609436449399539,0.00013609436449845292,0.00013609436449399539
A,5,27,6,60,1.3521522138779685e-05,1.3521522220687546e-05,1.352152213877969e-05,0.00016261326819138485,0.00016261326819345259,0.00016261326819138483
A,5,28,6,120,9.9437981344975446e-05,9.9437981454205196e-05,9.9437981344975432e-05,0.00064864539240218724,0.00064864539240607432,0.00064864539240218734
A,5,29,6,120,0.00017605619400344995,0.00017605619409360139,0.00017605619400344995,0.00015848770570643552,0.00015848770570870839,0.00015848770570643558
A,5,30,6,60,0.00012737154532972868,0.00012737154545666707,0.00012737154532972868,0.00017281344964913299,0.00017281344965246922,0.00017281344964913302
A,5,31,6,60,0.00016675646081802057,0.0001667564609405571,0.00016675646081802057,0.00077849266291809313,0.00077849266292165039,0.00077849266291809324
A,5,32,6,60,1.5687855532231336e-05,1.5687855646701401e-05,1.5687855532231333e-05,3.1565544780259607e-05,3.1565544782591238e-05,3.1565544780259614e-05
A,5,33,6,60,0.00016661554072529964,0.00016661554083467756,0.00016661554072529964,0.00076516136147485308,0.00076516136147757919,0.00076516136147485329
A,5,34,6,120,1.9331183113242487e-05,1.933118327457177e-05,1.9331183113242487e-05,0.00012794995102873499,0.00012794995103222121,0.00012794995102873502
A,5,35,6,120,0.00016562423259433641,0.00016562423267715495,0.00016562423259433638,2.9064108124434219e-05,2.9064108130544982e-05,2.9064108124434222e-05
A,5,36,6,60,0.00016622357332765438,0.00016622357345967044,0.00016622357332765435,0.00072305379502541256,0.00072305379502923784,0.00072305379502541245
A,5,37,6,120,2.2091513037436009e-05,2.2091513164797238e-05,2.2091513037436013e-05,3.1673210211294403e-05,3.1673210217875137e-05,3.1673210211294409e-05
A,5,38,6,120,0.00016218351182611558,0.00016218351192652351,0.00016218351182611558,0.00012945890629220528,0.00012945890629600953,0.00012945890629220528
A,5,39,6,60,0.00016609659011206684,0.00016609659028265882,0.00016609659011206681,0.00070838985059307343,0.00070838985059999899,0.00070838985059307311
A,5,40,6,120,3.4675514774687791e-05,3.4675514925782205e-05,3.4675514774687791e-05,0.00052120452622146987,0.00052120452622446173,0.00052120452622146998
A,5,41,6,120,0.00015813700603522913,0.00015813700619511997,0.00015813700603522902,2.9362465028775078e-05,2.9362465032655448e-05,2.9362465028775068e-05
A,5,42,6,120,0.0001650955767381828,0.00016509557687876403,0.00016509557673818277,2.9137664996873857e-05,2.9137665000692905e-05,2.9137664996873877e-05
A,5,43,6,120,3.4673037805504642e-05,3.4673037908709847e-05,3.4673037805504642e-05,0.00051715974015203406,0.00051715974015651106,0.00051715974015203406
A,5,44,6,120,0.00016218368269638514,0.00016218368283169721,0.00016218368269638517,0.00010477026705550969,0.00010477026705907288,0.00010477026705550965
A,5,45,6,120,0.00016405382188384391,0.00016405382197441816,0.00016405382188384391,2.967102507621868e-05,2.9671025079764709e-05,2.9671025076218684e-05
A,5,46,6,60,2.1070458236913749e-05,2.1070458501885533e-05,2.1070458236913749e-05,3.2147900829172971e-05,3.2147900832149065e-05,3.2147900829172971e-05
A,5,47,6,60,0.00016508367242294665,0.00016508367256333999,0.00016508367242294667,0.00052692673897261481,0.00052692673897623637,0.00052692673897261481
A,5,48,6,120,4.1953303362879335e-05,4.1953303490070704e-05,4.1953303362879328e-05,3.1849338484107509e-05,3.1849338487436532e-05,3.1849338484107516e-05
A,5,49,6,120,0.00014886919547426827,0.00014886919560194029,0.0001488691954742683,0.00053062197632582932,0.00053062197633140396,0.00053062197632582943
A,5,50,6,60,0.00016499762105897745,0.0001649976211588397,0.00016499762105897745,0.00050904464508075926,0.0005090446450857763,0.00050904464508075926
A,5,51,6,120,4.5794779335526854e-05,4.5794779457257462e-05,4.579477933552686e-05,0.00013109806383563828,0.00013109806383915018,0.00013109806383563823
A,5,52,6,120,0.000135633185742832,0.00013563318585927894,0.000135633185742832,3.0191258206557439e-05,3.0191258211649537e-05,3.0191258206557423e-05
A,5,53,6,120,0.00016396881485991599,0.00016396881498317167,0.00016396881485991597,2.9321001858174916e-05,2.9321001860661547e-05,2.9321001858174919e-05
A,5,54,6,120,4.5794719893177807e-05,4.5794720093935912e-05,4.5794719893177814e-05,0.00012614190497838528,0.00012614190498163954,0.00012614190497838525
A,5,55,6,120,0.00014886319256959899,0.00014886319268979722,0.00014886319256959899,0.00050925914361806977,0.0005092591436226296,0.00050925914361806956
A,5,56,6,60,0.00016476561709876823,0.00016476561720784981,0.00016476561709876823,0.00045407793536676836,0.00045407793536980916,0.00045407793536676825
A,5,57,6,120,4.8737625255356982e-05,4.8737625364322912e-05,4.8737625255356968e-05,3.1853345105634141e-05,3.1853345110937794e-05,3.1853345105634128e-05
A,5,58,6,120,0.00013228678200574948,0.00013228678209581055,0.00013228678200574948,0.00013170096465779831,0.0001317009646612545,0.00013170096465779831
A,5,59,6,60,0.00016469292466821019,0.0001646929247655065,0.00016469292466821017,0.00043539224038953098,0.00043539224039272509,0.00043539224038953098
A,5,60,6,120,0.00010495075885866145,0.00010495075891464242,0.00010495075885866142,0.0020592585340415055,0.0020592585340455816,0.0020592585340415059
A,5,61,6,120,0.00012820637741706425,0.00012820637756635889,0.00012820637741706422,3.0432518388473158e-05,3.0432518392285935e-05,3.0432518388473141e-05
A,5,62,6,120,0.00016365569733505699,0.00016365569741614086,0.00016365569733505704,2.9364720272027218e-05,2.9364720275463492e-05,2.9364720272027228e-05
A,5,63,6,120,0.00010492256517117265,0.00010492256525456226,0.00010492256517117265,0.0020568658697221911,0.0020568658697263059,0.0020568658697221911
A,5,64,6,120,0.00013228683614785336,0.00013228683626948998,0.00013228683614785328,0.00011173241853718563,0.000111732418541249,0.00011173241853718567
