phase,field,summary,T16,T32,T64,T16_T32_difference,T32_T64_difference,gate,passed_T32_T64
0.25,ecm_internal_z,absolute_p95,0.016447579302996125,0.016447938344695295,0.016444806357197646,2.1828978905801767e-05,0.00019041824160653565,0.05,True
0.25,ecm_jacobian,normalized_l2,,,,2.8226152131042704e-07,9.438551634205174e-08,0.05,True
0.25,ecm_jacobian,absolute_p95,1.0016583467632416,1.0016579342133867,1.0016578161340968,4.1186683690866985e-07,1.1788384623948778e-07,0.05,True
0.25,ecm_max_principal_cauchy_stress,normalized_l2,,,,0.00023224875954885166,7.800376044224984e-05,0.05,True
0.25,ecm_max_principal_cauchy_stress,absolute_p95,0.05352535807440354,0.05351390921487612,0.05351069055037652,0.0002138959913449636,6.0146316104032825e-05,0.05,True
0.25,ecm_max_principal_green_lagrange_strain,normalized_l2,,,,0.00020458109575092527,4.199634440873764e-05,0.05,True
0.25,ecm_max_principal_green_lagrange_strain,absolute_p95,0.007981393140279673,0.007982283198569468,0.007982116933624933,0.00011150422349764474,2.0829246519870293e-05,0.05,True
0.25,ecm_viscoelastic_energy_density,normalized_l2,,,,0.0057665836661285426,0.00479323978841727,0.05,True
0.25,ecm_viscoelastic_energy_density,absolute_p95,6.267318500046513e-07,6.26521593032914e-07,6.291857277806246e-07,0.00033548154882451843,0.004234258073697763,0.05,True
0.25,endocardial_displacement,normalized_l2,,,,0.000925021043845951,0.0004251769246126261,0.05,True
0.25,endocardial_displacement,absolute_p95,0.007082122416929353,0.007087505781376582,0.007089942107088771,0.0007595569743837364,0.0003436312561357624,0.05,True
0.25,jelly_endocardium_normal_traction,normalized_l2,,,,0.00025409072608529,5.3175152228704785e-05,0.05,True
0.25,jelly_endocardium_normal_traction,absolute_p95,1.4711298357567797e-05,1.4718822826002534e-05,1.4717287731521682e-05,0.0005112140096859412,0.00010429465039422647,0.05,True
0.25,jelly_endocardium_tangential_traction,normalized_l2,,,,0.00038043753197491964,4.6416400285198994e-05,0.05,True
0.25,jelly_endocardium_tangential_traction,absolute_p95,0.0013186761136717794,0.0013189646221231051,0.0013189503459232316,0.00021873858213219044,1.0823792870609951e-05,0.05,True
0.25,jelly_endocardium_traction_magnitude,normalized_l2,,,,0.0003338048579364569,4.872365748235371e-05,0.05,True
0.25,jelly_endocardium_traction_magnitude,absolute_p95,0.0014031428293117423,0.0014033870681195752,0.0014033611667247016,0.00017403524186672352,1.8456344270173673e-05,0.05,True
0.25,myocyte_displacement,normalized_l2,,,,4.865108355188753e-06,2.2500282462828665e-06,0.05,True
0.25,myocyte_displacement,absolute_p95,0.03860403541850962,0.03860373973261557,0.03860360252455436,7.659455568354832e-06,3.5542686320477025e-06,0.05,True
0.25,myocyte_jelly_normal_traction,normalized_l2,,,,4.4747535558423994e-05,2.101180299635055e-05,0.05,True
0.25,myocyte_jelly_normal_traction,absolute_p95,0.006746210191180004,0.0067457505125083,0.0067457652673532835,6.813880070106404e-05,2.1872751865883954e-06,0.05,True
0.25,myocyte_jelly_tangential_traction,normalized_l2,,,,1.0110608443967992e-05,8.489657797360286e-06,0.05,True
