time,alpha,alpha_rate,fiber_length,axial_shortening,transverse_scale_change_1,transverse_scale_change_2,volume_error,centroid_drift,passive_energy,active_energy,stored_energy,dissipation,active_power,active_net_force,active_net_moment,projected_residual,gauge_increment_residual,optimizer_iterations,optimizer_evaluations,optimizer_reported_success
2.1200000000000001,0.10000000000000001,0,0.88669753329661827,0.097226983708130987,0.061297571334367973,0.036065534200036664,9.771445993389527e-05,9.3553186576053932e-16,0.00097918188737992646,3.7091014140860718e-05,0.0010162729015207872,0.00044609321812184383,0,2.8189256484623115e-18,1.8382986698923737e-18,8.8165772862464693e-09,1.3162832687675294e-20,59,66,0
2.1400000000000001,0.10000000000000001,0,0.88666867779597081,0.097256362347833858,0.061666579487047679,0.036046991555077845,9.4379395849886194e-05,6.5179214746027888e-16,0.00097129163425858337,3.6309258019417315e-05,0.0010076008922780006,0.00042959007367112886,0,2.1684043449710089e-19,5.0207677665750132e-18,9.3541732572624079e-09,1.2135260139618893e-20,58,68,0
2.1600000000000001,0.10000000000000001,0,0.8866432421813959,0.097282259100253676,0.062021660361615272,0.036029106858412208,9.0975086399547322e-05,5.9006051289336921e-16,0.00096360641783707071,3.5627058434312296e-05,0.00099923347627138299,0.00041475479967996556,0,3.903127820947816e-18,3.4022649220361427e-18,7.6858936296409892e-09,1.4827137591237648e-20,59,71,0
2.1800000000000002,0.10000000000000001,0,0.88662024714083987,0.097305671031992502,0.062364512718305454,0.03601201230686546,8.7572331125995717e-05,4.5565903050637531e-16,0.00095612621941512633,3.5015884942597042e-05,0.0009911421043577234,0.00040127500266367726,0,4.3368086899420177e-18,3.2514012070377874e-18,9.8484259799292615e-09,1.311821375831692e-20,57,67,0
2.2000000000000002,0.10000000000000001,0,0.88659907998284615,0.09732722194236576,0.062696504090764105,0.035995702438565091,8.4210528636496917e-05,3.6188887447269491e-16,0.00094884526926087068,3.4457967753336911e-05,0.00098330323701420756,0.0003889179922739489,0,5.6378512969246231e-18,1.9956508830500825e-18,7.8324364282278316e-09,7.8923702759066907e-21,59,67,0
2.2200000000000002,0.10000000000000001,0,0.88657934143868733,0.097347318338688482,0.063018769116140572,0.035980101792766783,8.0911252594795258e-05,7.2377774894538981e-16,0.00094175541505219906,3.3941742606255676e-05,0.00097569715765845474,0.00037750486060776991,0,3.6862873864507151e-18,2.0721945156331867e-18,8.4746750563803944e-09,1.5927023378612563e-20,57,67,0
2.2400000000000002,0.10000000000000001,0,0.8865607595401539,0.097366237119848376,0.063332270875342767,0.035965101679985789,7.7685734751975488e-05,4.1531745434488536e-16,0.00093484780443895972,3.345932772099889e-05,0.00096830713215995861,0.00036689544096234894,0,8.6736173798840355e-19,1.135487021706002e-18,9.2514870507969175e-09,9.3109694445510548e-21,57,67,0
2.2600000000000002,0.10000000000000001,0,0.88654314069499607,0.097384175387847827,0.063637839913298633,0.035950580668955068,7.4539312517218903e-05,7.1712727638934062e-16,0.00092811368786513654,3.3005104270458472e-05,0.00096111879213559503,0.00035697809738025239,0,4.5536491244391186e-18,3.2021647413202614e-18,8.846275502622464e-09,1.0891530939962405e-20,59,69,0
2.2800000000000002,0.10000000000000001,0,0.88652634131570085,0.097401279333385826,0.063936200298895685,0.035936415683063272,7.1473692494938845e-05,7.1712727638934062e-16,0.00092154477028390692,3.2574898121436261e-05,0.00095411966840534314,0.00034766286666574611,0,4.3368086899420177e-18,2.7968870525961109e-18,9.2624501416197679e-09,8.508314347408391e-21,58,68,0
2.3000000000000003,0.10000000000000001,0,0.88651025077104861,0.097417661593383165,0.064227988259887514,0.035922488155345489,6.848853731145077e-05,6.3440789065726784e-16,0.00091513333390760344,3.2165490216433908e-05,0.00094729882412403731,0.00033887725837812425,0,3.2526065174565133e-18,1.897384230023557e-18,7.7794474596443213e-09,1.9658466726757323e-20,58,68,0
2.3199999999999998,0.10000000000000001,0,0.88649478120698677,0.097433411614652354,0.064513765221802633,0.035908687602593803,6.5582268861774651e-05,5.1799187363522983e-16,0.00090887225340452709,3.1774323650543877e-05,0.000940646577055071,0.00033056158066739746,0,1.5178830414797062e-18,4.4259046055028921e-18,9.0531701265249936e-09,9.0112377220106205e-21,60,69,0
2.3399999999999999,0.10000000000000001,0,0.88647986150678681,0.097448601803240886,0.064794028513389224,0.035894912755065844,6.2752888727146683e-05,7.9527237822829716e-16,0.00090275494566341473,3.1399328048468471e-05,0.00093415427371188321,0.00032266692938957815,0,5.8546917314217239e-18,2.0212538357443745e-18,7.1861261832390298e-09,1.9725232598118065e-20,58,66,0
2.3599999999999999,0.10000000000000001,0,0.88646543228526697,0.097463292620960651,0.065069218988212052,0.035881072911222001,5.9997631490338321e-05,7.8719833786478216e-16,0.00089677533749753268,3.103877767480881e-05,0.0009278141151723415,0.00031515246574609167,0,1.0842021724855044e-18,2.1816448012666163e-18,7.2335183819635203e-09,1.0023771161111957e-20,58,67,0
2.3799999999999999,0.10000000000000001,0,0.88645144381753371,0.097477534694198287,0.065339728299418809,0.035867087679672505,5.731386512120018e-05,7.7698781045284474e-16,0.00089092778559495163,3.0691228242174822e-05,0.00092161901383712647,0.00030798423082324639,0,4.5536491244391186e-18,2.3532582305155551e-18,8.1972416200420351e-09,1.3428022865923214e-20,58,68,0
2.3999999999999999,0.10000000000000001,0,0.88643785375978368,0.097491371134433957,0.065605904497648027,0.035852886705216358,5.4698790696638966e-05,7.6036582821736124e-16,0.00088520702960328049,3.0355451443859132e-05,0.0009155624810471396,0.00030113355664228465,0,2.3852447794681098e-18,6.6049066081348258e-19,6.7399167848826492e-09,1.5236531661457251e-20,56,67,0
2.4199999999999999,0.10000000000000001,0,0.88642462602526628,0.097504838682657025,0.065868057014713211,0.035838409308852626,5.2149826455405446e-05,7.3689865553017522e-16,0.00087960813730377516,3.0030400451899084e-05,0.00090963853775567424,0.00029457594862664137,0,4.1199682554449168e-18,3.5686171537802627e-18,9.1709360055403144e-09,8.969061969234791e-21,56,68,0
